region,output_comm,min_output,period,commodity,demand,satisfaction
AB,R_D_app_ref,0.10424214999999999,2025,R_D_app_ref,0.12341051424178025,84.0
NS,R_D_app_dsh,0.012041166666666667,2025,R_D_app_dsh,0.014358851527269382,84.0
BC,R_D_app_dsh,0.083468,2025,R_D_app_dsh,0.09897573411012021,84.0
NS,R_D_wah,3.7740579411424253,2025,R_D_wah,4.514468502860461,84.0
BC,T_D_tkm_hdv_t,22.082239843548724,2025,T_D_tkm_hdv_t,26.378217164,84.0
QC,T_D_tkm_ldv_t,6.746233351779567,2025,T_D_tkm_ldv_t,7.991182584,84.0
AB,R_D_app_frz,0.06222205000000001,2025,R_D_app_frz,0.07366363018872658,84.0
QC,R_D_sph,167.99237582760003,2025,R_D_sph,196.69699966633988,85.0
SK,R_D_app_dsh,0.01616925333333333,2025,R_D_app_dsh,0.018924837033425075,85.0
MB,R_D_app_dsh,0.01666634666666667,2025,R_D_app_dsh,0.019500043458074105,85.0
PEI,C_D_sph,0.8815698601336346,2025,C_D_sph,1.0319735194967044,85.0
ON,R_D_app_dsh,0.1898212866666667,2025,R_D_app_dsh,0.22387966367193268,85.0
QC,T_D_pkm_ldv_t,53.43135267668144,2025,T_D_pkm_ldv_t,63.099406866,85.0
NLLAB,R_D_app_cdry,0.009047436666666667,2025,R_D_app_cdry,0.010627688025680726,85.0
BC,R_D_sph,71.97595196573333,2025,R_D_sph,83.42511585958601,86.0
BC,R_D_spc,9.462557439127433,2025,R_D_spc,11.058386389948648,86.0
MB,R_D_sph,28.721192443733337,2025,R_D_sph,33.03353420068715,87.0
NLLAB,R_D_sph,10.6102575056,2025,R_D_sph,12.16383626758886,87.0
QC,R_D_wah,36.61824140834932,2025,R_D_wah,41.69387084065791,88.0
QC,R_D_app_dsh,0.11721397333333333,2025,R_D_app_dsh,0.13275274233370202,88.0
QC,R_D_spc,30.467078089387936,2025,R_D_spc,34.21678425407542,89.0
NB,R_D_app_ref,0.02096125,2025,R_D_app_ref,0.02345669251658606,89.0
NB,R_D_app_frz,0.010736250000000001,2025,R_D_app_frz,0.012014403484105055,89.0
ON,R_D_sph,274.97431732986666,2025,R_D_sph,310.4459459594049,89.0
MB,R_D_spc,7.100581417254741,2025,R_D_spc,7.861974102981197,90.0
SK,R_D_sph,30.616202222400002,2025,R_D_sph,33.988041461723114,90.0
ON,R_D_spc,70.58715229311899,2025,R_D_spc,78.55788390617688,90.0
BC,R_D_app_ref,0.13733895000000002,2025,R_D_app_ref,0.15199847252782173,90.0
BC,R_D_app_frz,0.08197750000000001,2025,R_D_app_frz,0.09072775626761019,90.0
NS,R_D_app_ref,0.024956450000000005,2025,R_D_app_ref,0.027776065125295766,90.0
NS,R_D_app_frz,0.011914250000000001,2025,R_D_app_frz,0.013260338867068636,90.0
SK,R_D_spc,2.850421933067248,2025,R_D_spc,3.1420757352792164,91.0
ON,R_D_app_ref,0.39513825,2025,R_D_app_ref,0.434966271325743,91.0
ON,R_D_app_frz,0.16560940000000002,2025,R_D_app_frz,0.1823020252139435,91.0
NLLAB,R_D_wah,1.867608017777388,2025,R_D_wah,2.037648503425049,92.0
MB,R_D_app_ref,0.036231150000000004,2025,R_D_app_ref,0.039565263627077726,92.0
NLLAB,R_D_app_dsh,0.006076513333333334,2025,R_D_app_dsh,0.006628007900453157,92.0
SK,R_D_app_frz,0.019574100000000004,2025,R_D_app_frz,0.021382612332804165,92.0
SK,R_D_app_ref,0.03149855000000001,2025,R_D_app_ref,0.03440879957165073,92.0
MB,R_D_app_frz,0.02018595,2025,R_D_app_frz,0.02204352976135203,92.0
NLLAB,R_D_spc,0.24480765979291197,2025,R_D_spc,0.2609535237505313,94.0
QC,R_D_app_ref,0.24742395,2025,R_D_app_ref,0.2615427138729733,95.0
QC,R_D_app_frz,0.1087166,2025,R_D_app_frz,0.1149203001853397,95.0
NLLAB,R_D_app_ref,0.013470099999999999,2025,R_D_app_ref,0.013713116283554238,98.0
NLLAB,R_D_app_frz,0.0098781,2025,R_D_app_frz,0.010056312422370817,98.0
NB,T_D_pkm_ldv_t,6.090883559154013,2025,T_D_pkm_ldv_t,4.42599215101158,138.0
NS,T_D_pkm_ldv_t,9.294105496001485,2025,T_D_pkm_ldv_t,6.26580316105026,148.0
NS,T_D_pkm_ldv_c,5.8099151974208345,2025,T_D_pkm_ldv_c,2.32851085745817,250.0
NLLAB,T_D_pkm_ldv_t,4.660461642239816,2025,T_D_pkm_ldv_t,1.81311766936973,257.0
NB,T_D_pkm_ldv_c,3.1984245937399294,2025,T_D_pkm_ldv_c,0.341994453758629,935.0
