region,emis_comm,input_comm,tech,vintage,output_comm,activity,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,ch4,F_hfo,F_T_HFO,2020,T_hfo,0.67,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_hfo,F_T_HFO,2025,T_hfo,0.67,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_hfo,F_T_HFO,2030,T_hfo,0.67,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_hfo,F_T_HFO,2035,T_hfo,0.67,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_hfo,F_T_HFO,2040,T_hfo,0.67,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_hfo,F_T_HFO,2045,T_hfo,0.67,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_hfo,F_T_HFO,2020,T_hfo,0.799,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_hfo,F_T_HFO,2025,T_hfo,0.799,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_hfo,F_T_HFO,2030,T_hfo,0.799,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_hfo,F_T_HFO,2035,T_hfo,0.799,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_hfo,F_T_HFO,2040,T_hfo,0.799,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_hfo,F_T_HFO,2045,T_hfo,0.799,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_hfo,F_T_HFO,2020,T_hfo,73.746887,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_hfo,F_T_HFO,2025,T_hfo,73.746887,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_hfo,F_T_HFO,2030,T_hfo,73.746887,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_hfo,F_T_HFO,2035,T_hfo,73.746887,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_hfo,F_T_HFO,2040,T_hfo,73.746887,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_hfo,F_T_HFO,2045,T_hfo,73.746887,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_jtf,F_T_JTF,2020,T_jtf,67.75,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_jtf,F_T_JTF,2025,T_jtf,67.75,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_jtf,F_T_JTF,2030,T_jtf,67.75,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_jtf,F_T_JTF,2035,T_jtf,67.75,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_jtf,F_T_JTF,2040,T_jtf,67.75,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_jtf,F_T_JTF,2045,T_jtf,67.75,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_jtf,F_T_JTF,2020,T_jtf,2.139,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_jtf,F_T_JTF,2025,T_jtf,2.139,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_jtf,F_T_JTF,2030,T_jtf,2.139,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_jtf,F_T_JTF,2035,T_jtf,2.139,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_jtf,F_T_JTF,2040,T_jtf,2.139,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_jtf,F_T_JTF,2045,T_jtf,2.139,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_jtf,F_T_JTF,2020,T_jtf,6.15,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_jtf,F_T_JTF,2025,T_jtf,6.15,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_jtf,F_T_JTF,2030,T_jtf,6.15,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
