tech,period,capacity
R_WAH_NG-TYP-NEW,2045,-1.9820025855948704
R_WAH_NG-TYP-NEW,2050,-0.19476958013221513
R_WAH_OIL-EXS,2025,0.0
R_WAH_OIL-EXS,2030,0.0
R_WAH_OIL-EXS,2035,0.0
R_WAH_SOLAR-TYP-NEW,2025,-3.427908650800801e-05
R_WAH_SOLAR-TYP-NEW,2030,-7.401218286133925e-05
R_WAH_SOLAR-TYP-NEW,2035,-0.00011397525202299115
R_WAH_SOLAR-TYP-NEW,2040,-0.00015736030084826023
R_WAH_SOLAR-TYP-NEW,2045,-0.00018372856135104724
R_WAH_SOLAR-TYP-NEW,2050,-0.00019648953702689766
T_ELC_AC_DC,2025,-0.000734803172432138
T_ELC_AC_DC,2030,-0.001595559713388864
T_ELC_AC_DC,2035,-0.002535545518947934
T_ELC_AC_DC,2040,-0.0035447082849977656
T_ELC_AC_DC,2045,-0.004637982427355717
T_ELC_AC_DC,2050,-0.005077998655752596
T_H2_COMP_100_700,2025,-1.1442857859554652
T_H2_COMP_100_700,2030,-1.0126365891223141
T_H2_COMP_100_700,2035,-0.7368413564327163
T_H2_COMP_100_700,2040,-0.36415084451414925
T_H2_COMP_100_700,2045,-0.4923160798030559
T_H2_COMP_100_700,2050,-1.0117698586820545
T_H2_COMP_10_100,2025,-1.1442859693837009
T_H2_COMP_10_100,2030,-1.0126370904885666
T_H2_COMP_10_100,2035,-0.7368423753095255
T_H2_COMP_10_100,2040,-0.3641517521602289
T_H2_COMP_10_100,2045,-0.4923173633861615
T_H2_COMP_10_100,2050,-1.0117707773206384
T_H2_HDV_REFUEL,2025,-37.43352954030287
T_H2_HDV_REFUEL,2030,-35.52917128746962
T_H2_HDV_REFUEL,2035,-38.44108815701192
T_H2_HDV_REFUEL,2040,-41.5570955779752
T_H2_HDV_REFUEL,2045,-36.611991666004855
T_H2_HDV_REFUEL,2050,-36.258242753092276
T_H2_LDV_REFUEL,2025,-1.234603649311084
T_H2_LDV_REFUEL,2030,5.3955663755084995
T_H2_LDV_REFUEL,2035,17.010594398715476
T_H2_LDV_REFUEL,2040,31.68854141696225
T_H2_LDV_REFUEL,2045,24.7569154288583
T_H2_LDV_REFUEL,2050,3.983843460813574
T_H2_MDV_REFUEL,2025,2.7623913548485195
T_H2_MDV_REFUEL,2030,0.3744373832413359
T_H2_MDV_REFUEL,2035,-1.6902869120868314
T_H2_MDV_REFUEL,2040,0.6975200716504446
T_H2_MDV_REFUEL,2045,-3.5928100373200476
T_H2_MDV_REFUEL,2050,-3.592652697667612
T_HDV_AJF_JFL_EX,2025,0.0
T_HDV_AJF_JFL_EX,2030,0.0
T_HDV_AJF_JFL_EX,2035,0.0
T_HDV_AJF_JFL_EX,2040,0.0
T_HDV_AJF_JFL_N,2025,-4.4378225538821425e-07
T_HDV_AJF_JFL_N,2030,2.721545889206034e-07
T_HDV_AJF_JFL_N,2035,9.942079712832452e-07
T_HDV_AJF_JFL_N,2040,2.1366622391383316e-06
T_HDV_AJF_JFL_N,2045,3.2178877169553033e-06
T_HDV_AJF_JFL_N,2050,3.882968794055586e-06
T_HDV_AJP_JFL_EX,2025,0.0
T_HDV_AJP_JFL_EX,2030,0.0
T_HDV_AJP_JFL_EX,2035,0.0
T_HDV_AJP_JFL_EX,2040,0.0
T_HDV_AJP_JFL_N,2025,-3.1185031694747067e-06
T_HDV_AJP_JFL_N,2030,-2.356323534513649e-06
T_HDV_AJP_JFL_N,2035,-1.7079661418506475e-06
T_HDV_AJP_JFL_N,2040,1.445460924287545e-07
T_HDV_AJP_JFL_N,2045,1.4665200467334216e-06
T_HDV_AJP_JFL_N,2050,2.6659048160126986e-06
T_HDV_BIC_BEV_N,2025,-1.1873687616315674e-05
T_HDV_BIC_BEV_N,2030,-2.8944176724556097e-05
T_HDV_BIC_BEV_N,2035,-3.658965462795697e-05
T_HDV_BIC_BEV_N,2040,-5.9339492380596685e-05
T_HDV_BIC_BEV_N,2045,-7.274838255226915e-05
T_HDV_BIC_BEV_N,2050,-9.659497742845068e-05
T_HDV_BIC_DSL_EX,2025,0.0
T_HDV_BIC_DSL_EX,2030,0.0
