group_name,tech,output_comm,mode,demand_type,unit,fuel_type_1,fuel_type_2,vehicle_type,zev_class,status
HDV,T_HDV_RF_LNG_N,T_D_tkm_hdv_r,Rail,tkm,btkm-year,lng,NONE,ice,non-zev,new
HDV ICE,T_HDV_RF_LNG_N,T_D_tkm_hdv_r,Rail,tkm,btkm-year,lng,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_RF_LNG_N,T_D_tkm_hdv_r,Rail,tkm,btkm-year,lng,NONE,ice,non-zev,new
Existing_HDV,T_HDV_RICP_DSL_EX,T_D_pkm_hdv_r,Rail,pkm,bpkm-year,dsl,NONE,ice,non-zev,Existing
HDV,T_HDV_RICP_DSL_N,T_D_pkm_hdv_r,Rail,pkm,bpkm-year,dsl,NONE,ice,non-zev,new
HDV ICE,T_HDV_RICP_DSL_N,T_D_pkm_hdv_r,Rail,pkm,bpkm-year,dsl,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_RICP_DSL_N,T_D_pkm_hdv_r,Rail,pkm,bpkm-year,dsl,NONE,ice,non-zev,new
HDV,T_HDV_RICP_H2_N,T_D_pkm_hdv_r,Rail,pkm,bpkm-year,h2,NONE,h2,zev,new
HDV H2,T_HDV_RICP_H2_N,T_D_pkm_hdv_r,Rail,pkm,bpkm-year,h2,NONE,h2,zev,new
HDV ZEV,T_HDV_RICP_H2_N,T_D_pkm_hdv_r,Rail,pkm,bpkm-year,h2,NONE,h2,zev,new
HDV,T_HDV_T_BEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,elc,NONE,BEV,zev,new
HDV elc,T_HDV_T_BEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,elc,NONE,BEV,zev,new
HDV ZEV,T_HDV_T_BEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,elc,NONE,BEV,zev,new
Existing_HDV,T_HDV_T_DSL_EX,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,dsl,NONE,ice,non-zev,Existing
HDV,T_HDV_T_DSL_HEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,dsl,elc,hyb,non-zev,new
HDV hyb,T_HDV_T_DSL_HEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,dsl,elc,hyb,non-zev,new
HDV N-ZEV,T_HDV_T_DSL_HEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,dsl,elc,hyb,non-zev,new
HDV,T_HDV_T_DSL_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,dsl,NONE,ice,non-zev,new
HDV ICE,T_HDV_T_DSL_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,dsl,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_T_DSL_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,dsl,NONE,ice,non-zev,new
HDV,T_HDV_T_DSL_PHEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,dsl,elc,plug_in hyb,zev,new
HDV PHEV,T_HDV_T_DSL_PHEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,dsl,elc,plug_in hyb,zev,new
HDV ZEV,T_HDV_T_DSL_PHEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,dsl,elc,plug_in hyb,zev,new
HDV,T_HDV_T_FCEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,h2,NONE,h2,zev,new
HDV H2,T_HDV_T_FCEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,h2,NONE,h2,zev,new
HDV ZEV,T_HDV_T_FCEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,h2,NONE,h2,zev,new
HDV,T_HDV_T_FCHEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,h2,NONE,h2,zev,new
HDV hyb,T_HDV_T_FCHEV_N,T_D_tkm_hdv_t,Trucks (HDV & MDV),tkm,k units,h2,NONE,h2,zev,new
