region,tech,vintage,lifetime,notes
AB,T_LDV_LTF_BEV300_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV300_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV300_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV300_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV400_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV400_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV400_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV400_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV400_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV400_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_CNG_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_CNG_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_CNG_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_CNG_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_CNG_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_CNG_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_DSL_EX,2010.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_DSL_EX,2015.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_DSL_EX,2020.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_DSL_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_DSL_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_DSL_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_DSL_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_DSL_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_DSL_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_FCEV400_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_FCEV400_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_FCEV400_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_FCEV400_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_FCEV400_N,2045.0,26,(y) age when vehicles have 0% survival rate
