tech,vintage,fraction,notes,period,region
T_LDV_LTP_BEV150_N,2045,0.15255915,From MOVES5,2071,ON
T_LDV_LTP_BEV150_N,2045,0.133489256,From MOVES5,2072,ON
T_LDV_LTP_BEV150_N,2045,0.116803099,From MOVES5,2073,ON
T_LDV_LTP_BEV150_N,2045,0.101969106,From MOVES5,2074,ON
T_LDV_LTP_BEV150_N,2045,0.08891706,From MOVES5,2075,ON
T_LDV_LTP_BEV150_N,2045,0.077446759,From MOVES5,2076,ON
T_LDV_LTP_BEV150_N,2045,0.067378681,From MOVES5,2077,ON
T_LDV_LTP_BEV150_N,2045,0.058552073,From MOVES5,2078,ON
T_LDV_LTP_BEV150_N,2045,0.0508232,From MOVES5,2079,ON
T_LDV_LTP_BEV150_N,2045,0.044063714,From MOVES5,2080,ON
T_LDV_LTP_BEV150_N,2045,0.038159177,From MOVES5,2081,ON
T_LDV_LTP_BEV150_N,2045,0.033007688,From MOVES5,2082,ON
T_LDV_LTP_BEV150_N,2045,0.028518642,From MOVES5,2083,ON
T_LDV_LTP_BEV150_N,2045,0.024611588,From MOVES5,2084,ON
T_LDV_LTP_BEV150_N,2045,0.021215189,From MOVES5,2085,ON
T_LDV_LTP_BEV150_N,2045,0.018266278,From MOVES5,2086,ON
T_LDV_LTP_BEV150_N,2045,0,From MOVES5,2087,ON
T_LDV_LTP_BEV150_N,2050,1,From MOVES5,2050,ON
T_LDV_LTP_BEV150_N,2050,0.991,From MOVES5,2051,ON
T_LDV_LTP_BEV150_N,2050,0.982081,From MOVES5,2052,ON
T_LDV_LTP_BEV150_N,2050,0.973242271,From MOVES5,2053,ON
T_LDV_LTP_BEV150_N,2050,0.959616879,From MOVES5,2054,ON
T_LDV_LTP_BEV150_N,2050,0.941384159,From MOVES5,2055,ON
T_LDV_LTP_BEV150_N,2050,0.918790939,From MOVES5,2056,ON
T_LDV_LTP_BEV150_N,2050,0.891227211,From MOVES5,2057,ON
T_LDV_LTP_BEV150_N,2050,0.859143031,From MOVES5,2058,ON
T_LDV_LTP_BEV150_N,2050,0.823059024,From MOVES5,2059,ON
T_LDV_LTP_BEV150_N,2050,0.783552191,From MOVES5,2060,ON
T_LDV_LTP_BEV150_N,2050,0.741240372,From MOVES5,2061,ON
T_LDV_LTP_BEV150_N,2050,0.69676595,From MOVES5,2062,ON
T_LDV_LTP_BEV150_N,2050,0.651476163,From MOVES5,2063,ON
T_LDV_LTP_BEV150_N,2050,0.605221356,From MOVES5,2064,ON
T_LDV_LTP_BEV150_N,2050,0.552567098,From MOVES5,2065,ON
T_LDV_LTP_BEV150_N,2050,0.501730925,From MOVES5,2066,ON
T_LDV_LTP_BEV150_N,2050,0.453063025,From MOVES5,2067,ON
T_LDV_LTP_BEV150_N,2050,0.406850596,From MOVES5,2068,ON
T_LDV_LTP_BEV150_N,2050,0.363724433,From MOVES5,2069,ON
T_LDV_LTP_BEV150_N,2050,0.32407847,From MOVES5,2070,ON
T_LDV_LTP_BEV150_N,2050,0.287781681,From MOVES5,2071,ON
T_LDV_LTP_BEV150_N,2050,0.254686788,From MOVES5,2072,ON
T_LDV_LTP_BEV150_N,2050,0.224888434,From MOVES5,2073,ON
T_LDV_LTP_BEV150_N,2050,0.197901822,From MOVES5,2074,ON
T_LDV_LTP_BEV150_N,2050,0.173955701,From MOVES5,2075,ON
T_LDV_LTP_BEV150_N,2050,0.15255915,From MOVES5,2076,ON
T_LDV_LTP_BEV150_N,2050,0.133489256,From MOVES5,2077,ON
T_LDV_LTP_BEV150_N,2050,0.116803099,From MOVES5,2078,ON
T_LDV_LTP_BEV150_N,2050,0.101969106,From MOVES5,2079,ON
T_LDV_LTP_BEV150_N,2050,0.08891706,From MOVES5,2080,ON
T_LDV_LTP_BEV150_N,2050,0.077446759,From MOVES5,2081,ON
T_LDV_LTP_BEV150_N,2050,0.067378681,From MOVES5,2082,ON
T_LDV_LTP_BEV150_N,2050,0.058552073,From MOVES5,2083,ON
T_LDV_LTP_BEV150_N,2050,0.0508232,From MOVES5,2084,ON
T_LDV_LTP_BEV150_N,2050,0.044063714,From MOVES5,2085,ON
T_LDV_LTP_BEV150_N,2050,0.038159177,From MOVES5,2086,ON
T_LDV_LTP_BEV150_N,2050,0.033007688,From MOVES5,2087,ON
T_LDV_LTP_BEV150_N,2050,0.028518642,From MOVES5,2088,ON
T_LDV_LTP_BEV150_N,2050,0.024611588,From MOVES5,2089,ON
T_LDV_LTP_BEV150_N,2050,0.021215189,From MOVES5,2090,ON
T_LDV_LTP_BEV150_N,2050,0.018266278,From MOVES5,2091,ON
T_LDV_LTP_BEV150_N,2050,0,From MOVES5,2092,ON
T_LDV_LTP_BEV200_N,2025,1,From MOVES5,2025,ON
T_LDV_LTP_BEV200_N,2025,0.991,From MOVES5,2026,ON
T_LDV_LTP_BEV200_N,2025,0.982081,From MOVES5,2027,ON
T_LDV_LTP_BEV200_N,2025,0.973242271,From MOVES5,2028,ON
T_LDV_LTP_BEV200_N,2025,0.959616879,From MOVES5,2029,ON
T_LDV_LTP_BEV200_N,2025,0.941384159,From MOVES5,2030,ON
T_LDV_LTP_BEV200_N,2025,0.918790939,From MOVES5,2031,ON
T_LDV_LTP_BEV200_N,2025,0.891227211,From MOVES5,2032,ON
T_LDV_LTP_BEV200_N,2025,0.859143031,From MOVES5,2033,ON
T_LDV_LTP_BEV200_N,2025,0.823059024,From MOVES5,2034,ON
T_LDV_LTP_BEV200_N,2025,0.783552191,From MOVES5,2035,ON
T_LDV_LTP_BEV200_N,2025,0.741240372,From MOVES5,2036,ON
T_LDV_LTP_BEV200_N,2025,0.69676595,From MOVES5,2037,ON
T_LDV_LTP_BEV200_N,2025,0.651476163,From MOVES5,2038,ON
T_LDV_LTP_BEV200_N,2025,0.605221356,From MOVES5,2039,ON
T_LDV_LTP_BEV200_N,2025,0.552567098,From MOVES5,2040,ON
T_LDV_LTP_BEV200_N,2025,0.501730925,From MOVES5,2041,ON
T_LDV_LTP_BEV200_N,2025,0.453063025,From MOVES5,2042,ON
T_LDV_LTP_BEV200_N,2025,0.406850596,From MOVES5,2043,ON
T_LDV_LTP_BEV200_N,2025,0.363724433,From MOVES5,2044,ON
T_LDV_LTP_BEV200_N,2025,0.32407847,From MOVES5,2045,ON
T_LDV_LTP_BEV200_N,2025,0.287781681,From MOVES5,2046,ON
T_LDV_LTP_BEV200_N,2025,0.254686788,From MOVES5,2047,ON
T_LDV_LTP_BEV200_N,2025,0.224888434,From MOVES5,2048,ON
T_LDV_LTP_BEV200_N,2025,0.197901822,From MOVES5,2049,ON
T_LDV_LTP_BEV200_N,2025,0.173955701,From MOVES5,2050,ON
T_LDV_LTP_BEV200_N,2025,0.15255915,From MOVES5,2051,ON
T_LDV_LTP_BEV200_N,2025,0.133489256,From MOVES5,2052,ON
T_LDV_LTP_BEV200_N,2025,0.116803099,From MOVES5,2053,ON
T_LDV_LTP_BEV200_N,2025,0.101969106,From MOVES5,2054,ON
T_LDV_LTP_BEV200_N,2025,0.08891706,From MOVES5,2055,ON
T_LDV_LTP_BEV200_N,2025,0.077446759,From MOVES5,2056,ON
T_LDV_LTP_BEV200_N,2025,0.067378681,From MOVES5,2057,ON
T_LDV_LTP_BEV200_N,2025,0.058552073,From MOVES5,2058,ON
