,scenario,region,sector,period,tech,vintage,capacity
1165,zulu,ON,transportation,2040,T_LDV_C_BEV400_N,2035,179.28316847554066
1167,zulu,ON,transportation,2035,T_LDV_LTP_BEV150_N,2025,5.961072970005552e-05
1170,zulu,ON,transportation,2045,T_LDV_LTP_GSL_PHEV50_N,2035,0.0013871284691697233
1179,zulu,ON,transportation,2035,T_LDV_C_FCEV400_N,2035,0.0003272070449369305
1187,zulu,ON,transportation,2025,T_LDV_LTP_GSL_PHEV35_EX,2020,4.427121345
1194,zulu,ON,transportation,2035,T_LDV_LTP_BEV200_N,2030,0.00039147458953435905
1195,zulu,ON,transportation,2040,T_LDV_LTP_GSL_PHEV35_N,2030,1299.2646081531423
1212,zulu,ON,transportation,2035,T_LDV_C_CNG_N,2025,0.00040182211002206007
1232,zulu,ON,transportation,2035,T_LDV_C_GSL_PHEV50_N,2035,0.0007896703144883452
1234,zulu,ON,transportation,2025,T_LDV_LTP_BEV300_EX,2020,4.376519583
1253,zulu,ON,transportation,2035,T_LDV_C_FCEV400_N,2025,0.00011051179679476893
1256,zulu,ON,transportation,2035,T_LDV_C_GSL_PHEV35_N,2030,0.027539504480867654
1282,zulu,ON,transportation,2035,T_LDV_C_DSL_N,2030,0.00016551995456853217
1289,zulu,ON,transportation,2030,T_LDV_LTP_DSL_EX,2015,11.2761608518
1290,zulu,ON,transportation,2035,T_LDV_LTP_DSL_N,2025,0.00017007152253159305
1314,zulu,ON,transportation,2035,T_LDV_C_GSL_PHEV50_N,2025,0.0006365641744567003
1315,zulu,ON,transportation,2050,T_LDV_LTP_BEV150_N,2045,0.0010960945357175146
1335,zulu,ON,transportation,2050,T_LDV_LTP_BEV200_N,2050,0.0007655607561795575
1343,zulu,ON,transportation,2050,T_LDV_LTP_GSL_N,2050,0.0002904439818720056
1346,zulu,ON,transportation,2030,T_LDV_C_BEV200_N,2025,0.00040009840945361987
1347,zulu,ON,transportation,2035,T_LDV_LTP_BEV300_N,2025,0.00017878867788052714
1352,zulu,ON,transportation,2050,T_LDV_C_CNG_N,2045,0.00024225485358362632
1357,zulu,ON,transportation,2040,T_LDV_C_GSL_N,2040,0.0003149548863924849
1363,zulu,ON,transportation,2045,T_LDV_LTP_GSL_PHEV35_N,2040,32.22928394706088
1370,zulu,ON,transportation,2045,T_LDV_LTP_CNG_N,2030,9.412430473594432e-05
1372,zulu,ON,transportation,2030,T_LDV_LTP_CNG_N,2025,0.0009074092251452712
1387,zulu,ON,transportation,2050,T_LDV_C_FCEV400_N,2045,0.027070586683102933
1401,zulu,ON,transportation,2050,T_LDV_LTP_GSL_N,2040,0.00024342749064425184
1402,zulu,ON,transportation,2035,T_LDV_LTP_FCEV400_N,2035,0.0001826910779075969
1406,zulu,ON,transportation,2050,T_LDV_C_DSL_N,2050,0.000162568876781022
1415,zulu,ON,transportation,2050,T_LDV_LTP_DSL_N,2045,0.00014287227583912237
1425,zulu,ON,transportation,2040,T_LDV_C_GSL_HEV_N,2035,1868.0569577956553
