region,tech,vintage,capacity
NB,T_HDV_T_DSL_EX,2010.0,4.657
NB,T_HDV_T_DSL_EX,2015.0,4.419
NB,T_HDV_T_DSL_EX,2020.0,3.762
NB,T_LDV_LTF_DSL_EX,2005.0,0.656
NB,T_LDV_LTF_DSL_EX,2010.0,1.2119196345114398
NB,T_LDV_LTF_DSL_EX,2015.0,2.544329354249661
NB,T_LDV_LTF_DSL_EX,2020.0,3.5743940059864907
NB,T_LDV_LTF_GSL_EX,2005.0,15.58
NB,T_LDV_LTF_GSL_EX,2010.0,21.254541524279777
NB,T_LDV_LTF_GSL_EX,2015.0,27.444005815754174
NB,T_LDV_LTF_GSL_EX,2020.0,23.057166039578927
NB,T_LDV_LTF_GSL_HEV_EX,2010.0,0.004758582580508394
NB,T_LDV_LTF_GSL_HEV_EX,2020.0,1.0540542571430018
NB,T_LDV_LTF_GSL_PHEV35_EX,2015.0,0.04666482999616159
NB,T_LDV_LTF_GSL_PHEV35_EX,2020.0,0.08059187699693969
NB,T_LDV_LTP_BEV300_EX,2010.0,0.0019241475171317291
NB,T_LDV_LTP_BEV300_EX,2015.0,0.1510045128697619
NB,T_LDV_LTP_BEV300_EX,2020.0,3.2670643588862984
NB,T_LDV_LTP_DSL_EX,2005.0,1.72914
NB,T_LDV_LTP_DSL_EX,2010.0,2.9656495418172213
NB,T_LDV_LTP_DSL_EX,2015.0,4.024155555972873
NB,T_LDV_LTP_DSL_EX,2020.0,3.9825470471055953
NB,T_LDV_LTP_GSL_EX,2005.0,54.756099999999996
NB,T_LDV_LTP_GSL_EX,2010.0,76.24769332976187
NB,T_LDV_LTP_GSL_EX,2015.0,101.87005571533987
NB,T_LDV_LTP_GSL_EX,2020.0,84.97052104450218
NB,T_LDV_LTP_GSL_HEV_EX,2010.0,0.16819201235106418
NB,T_LDV_LTP_GSL_HEV_EX,2015.0,0.7406979137750707
NB,T_LDV_LTP_GSL_HEV_EX,2020.0,6.39869736420464
NB,T_LDV_LTP_GSL_PHEV35_EX,2015.0,0.23108630204240938
NB,T_LDV_LTP_GSL_PHEV35_EX,2020.0,1.1751701853012924
NB,T_MDV_T_DSL_EX,2005.0,4.0914
NB,T_MDV_T_DSL_EX,2010.0,5.0436
