tech,flag,sector,category,sub_category,unlim_cap,annual,reserve,curtail,retire,flex,exchange,seas_stor,description,data_id
F_IMP_WOOD,p,fuel,,,1,1,0,0,0,0,0,0,Wood import into fuel sector,FUELHR001
I_CON,p,industrial,,,1,1,0,0,0,0,0,0,Generic technology representing Construction industry,INDHR001
I_PULP,p,industrial,,,1,1,0,0,0,0,0,0,Generic technology representing Pulp and paper industry,INDHR001
I_SMELT,p,industrial,,,1,1,0,0,0,0,0,0,Generic technology representing Smelting industry,INDHR001
I_REFINING,p,industrial,,,1,1,0,0,0,0,0,0,Generic technology representing Petroleum refining industry,INDHR001
I_CEMENT,p,industrial,,,1,1,0,0,0,0,0,0,Generic technology representing Cement industry,INDHR001
I_CHEM,p,industrial,,,1,1,0,0,0,0,0,0,Generic technology representing Chemical industry,INDHR001
I_STEEL,p,industrial,,,1,1,0,0,0,0,0,0,Generic technology representing Iron and Steel industry,INDHR001
I_OTH_MAN,p,industrial,,,1,1,0,0,0,0,0,0,Generic technology representing Other manufacturing industry,INDHR001
I_FOR,p,industrial,,,1,1,0,0,0,0,0,0,Generic technology representing Forestry industry,INDHR001
I_MINING,p,industrial,,,1,1,0,0,0,0,0,0,Generic technology representing Mining and Oil & Gas extraction industry,INDHR001
R_APP_CL_WASH-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,appliances clothes washers - top loader washing machine typical efficiency - new,RESHR001
R_APP_DS_WASH-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,appliances dish washers - dish washer typical efficiency - new,RESHR001
R_APP_COOK_ELEC-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,appliances cooking ranges - electric cooking range typical efficiency - new,RESHR001
R_APP_DRY_ELEC-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,appliances clothes dryers - electric dryer typical efficiency - new,RESHR001
R_APP_FREZ-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,appliances freezers - freezer typical efficiency - new,RESHR001
R_APP_COOK_NG-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,appliances cooking ranges - natural gas cooking range typical efficiency - new,RESHR001
R_APP_DRY_NG-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,appliances clothes dryers - natural gas dryer typical efficiency - new,RESHR001
R_APP_REFR-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,appliances refrigerators - refrigerator with bottom-mounted freezer typical efficiency - new,RESHR001
R_SPC_CENT_AC-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,space cooling - central air conditioner typical efficiency - new,RESHR001
